symbol,contrast,logFC,P.Value,transcript_cluster_id
E2F1,TAp73alpha_vs_GFP,0.642436898435131,0.280690557258627,TC2000008894.hg.1
E2F1,DNp73beta_vs_GFP,0.814488490375656,0.179767094285477,TC2000008894.hg.1
E2F1,TAp73alpha_vs_DNp73beta,-0.172051591940526,0.765431512618858,TC2000008894.hg.1
FUS,TAp73alpha_vs_GFP,-0.143507281846478,0.489901641490501,TC1600007521.hg.1
FUS,DNp73beta_vs_GFP,0.381544121915282,0.0882859342331298,TC1600007521.hg.1
FUS,TAp73alpha_vs_DNp73beta,-0.52505140376176,0.0274911631792678,TC1600007521.hg.1
HDAC1,TAp73alpha_vs_GFP,0.790002308459476,0.0017886667759663,TC0100007678.hg.1
HDAC1,DNp73beta_vs_GFP,0.236828388037768,0.220131394329167,TC0100007678.hg.1
HDAC1,TAp73alpha_vs_DNp73beta,0.553173920421708,0.013362172717567,TC0100007678.hg.1
HDAC2,TAp73alpha_vs_GFP,-0.623455096730885,0.002242501715483,TC0600012927.hg.1
HDAC2,DNp73beta_vs_GFP,0.115096402715926,0.453690833054,TC0600012927.hg.1
HDAC2,TAp73alpha_vs_DNp73beta,-0.738551499446811,0.0007482691869639,TC0600012927.hg.1
HDAC6,TAp73alpha_vs_GFP,0.140336680529808,0.368180141273479,TC0X00007205.hg.1
HDAC6,DNp73beta_vs_GFP,-0.10668248541516,0.489608716150435,TC0X00007205.hg.1
HDAC6,TAp73alpha_vs_DNp73beta,0.247019165944968,0.130018775217792,TC0X00007205.hg.1
MDM2,TAp73alpha_vs_GFP,0.700949637858779,0.0152060987405161,TC1200008116.hg.1
MDM2,DNp73beta_vs_GFP,-0.897665053011363,0.0040712923555391,TC1200008116.hg.1
MDM2,TAp73alpha_vs_DNp73beta,1.59861469087014,8.15622476574555e-05,TC1200008116.hg.1
PATZ1,TAp73alpha_vs_GFP,-0.621523213381215,0.0686486868884896,TC2200008477.hg.1
PATZ1,DNp73beta_vs_GFP,0.227111760722428,0.468609010604294,TC2200008477.hg.1
PATZ1,TAp73alpha_vs_DNp73beta,-0.848634974103643,0.0200684283187936,TC2200008477.hg.1
REST,TAp73alpha_vs_GFP,0.359704466824216,0.0350290172575317,TC0400007609.hg.1
REST,DNp73beta_vs_GFP,0.295795555728114,0.0717313165179793,TC0400007609.hg.1
REST,TAp73alpha_vs_DNp73beta,0.0639089110961021,0.669220750108683,TC0400007609.hg.1
TARDBP,TAp73alpha_vs_GFP,-0.0732337003948486,0.738508899011684,TC0100006840.hg.1
TARDBP,DNp73beta_vs_GFP,0.204385793939274,0.361845246366783,TC0100006840.hg.1
TARDBP,TAp73alpha_vs_DNp73beta,-0.277619494334122,0.224483213681812,TC0100006840.hg.1
TERT,TAp73alpha_vs_GFP,0.700128876968695,0.0465805945623093,TC0500009852.hg.1
TERT,DNp73beta_vs_GFP,0.392294236523098,0.227999675924904,TC0500009852.hg.1
TERT,TAp73alpha_vs_DNp73beta,0.307834640445597,0.336423634467046,TC0500009852.hg.1
