probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta
1274253,24521083,6624158,1252,475,PSR2200160978.hg.1,2,31325809.0,31326890.0,probeset_region,65.22222,71.55556,109.111115,88.55556,77.666664,95.666664,45.22222,62.666668,45.88889,6.049243500551913,6.181014213815878,6.7828162901715805,6.484711054398036,6.297680502001321,6.594946551338986,5.53051469023991,5.99246635612844,5.551174200306211,6.337691334846458,0.391079339275828,6.459112702579447,0.1502771863393674,5.691385082224854,0.26094856573777075,-0.7677276203545933,-0.12142136773298962,-0.6463062526216037
4267942,24521083,6624159,1381,1592,PSR2200160978.hg.1,2,31325809.0,31326890.0,probeset_region,67.55556,73.22222,76.666664,91.55556,57.77778,64.44444,78.333336,61.77778,79.333336,6.09920171338584,6.21377927455436,6.279223596693254,6.532247710350341,5.877198931478688,6.0321987850133105,6.309855308834222,5.9721820753414585,6.327926881180546,6.197401528211151,0.0911215811366819,6.147215142280779,0.34233579641138845,6.203321421785408,0.20037637968999608,0.056106279504628986,0.05018638593037217,0.005919893574256818
4414614,24521083,6624160,653,1647,PSR2200160978.hg.1,2,31325809.0,31326890.0,probeset_region,851.55554,1287.8889,1215.3334,883.44446,982.8889,1405.2222,948.2222,987.7778,807.6667,9.735650015168412,10.331912213823818,10.248322983125927,9.7886277361131,9.942351629973414,10.457608827369848,9.890602075913613,9.949502499730018,9.659401370695775,10.105295070706052,0.32283879906965224,10.062862731152121,0.3503942340353873,9.833168648779802,0.15334149856117438,-0.22969408237231903,0.04243233955393144,-0.2721264219262505
6256170,24521083,6624161,1049,2334,PSR2200160978.hg.1,2,31325809.0,31326890.0,probeset_region,165.22223,330.0,373.66666,172.77777,175.44444,248.22223,183.11111,199.88889,196.11111,7.376969517305696,8.370687406807217,8.549463780329344,7.441099739563813,7.463070181838064,7.961288942901702,7.524432912349784,7.65025393662135,7.622865317676991,8.099040234814085,0.6316880865939624,7.621819621434526,0.2941942219800894,7.599184055549375,0.06616898192623277,-0.022635565885151365,0.4772206133795587,-0.49985617926471004
6521373,24521083,6624162,932,2433,PSR2200160978.hg.1,2,31325809.0,31326890.0,probeset_region,49.22222,62.555557,35.11111,35.22222,60.666668,56.666668,63.11111,44.22222,49.333332,5.65025393662135,5.989946373821705,5.174370889539828,5.178803119025299,5.946418989543506,5.8496657587273875,6.002502497665137,5.49895995577998,5.653442202157268,5.604857066660961,0.40967853189062126,5.658295955765397,0.41806139774217294,5.718301551867462,0.2579608968538901,0.060005596102064906,-0.05343888910443617,0.11344448520650108
6533625,24521083,6624163,2464,2437,PSR2200160978.hg.1,2,31325809.0,31326890.0,probeset_region,91.333336,108.0,103.666664,101.55556,108.77778,141.0,73.44444,83.55556,117.0,6.528779705064095,6.768184324776926,6.709658213116682,6.68026186005371,6.778442241282942,7.149747119504682,6.218092251046435,6.40182767098867,6.882643049361842,6.668874080985901,0.12480445528989348,6.869483740280445,0.2476298005394765,6.500854323798983,0.34316417260623483,-0.3686294164814621,-0.20060965929454344,-0.16801975718691864
269017,24521084,6624164,1016,100,PSR2200160979.hg.1,2,31326891.0,31327275.0,probeset_region,112.0,150.0,161.55556,83.888885,157.44444,144.44444,129.55556,116.44444,128.0,6.820178962415188,7.2384047393250786,7.344789067743187,6.407503768965741,7.307833249564143,7.184324363685679,7.028520058745181,6.875834639113711,7.011227255423254,7.134457589827818,0.27732237210423166,6.966553794071854,0.4880740816219341,6.971860651094048,0.08360924885632384,0.005306857022194578,0.16790379575596415,-0.16259693873376957
317909,24521084,6624165,1668,118,PSR2200160979.hg.1,2,31326891.0,31327275.0,probeset_region,111.22222,140.11111,114.333336,130.0,149.55556,158.22223,137.77777,174.77777,126.77778,6.810214565298934,7.1406878148845845,6.8496657587273875,7.03342300153745,7.234152151045253,7.314897954267925,7.116632689665149,7.457608827369848,6.997493153960634,6.933522712970301,0.18049136753346015,7.194157702283543,0.14493689731214268,7.19057822366521,0.23880444871928,-0.003579478618332743,-0.2606349893132416,0.25705551069490884
2120718,24521084,6624166,837,791,PSR2200160979.hg.1,2,31326891.0,31327275.0,probeset_region,226.22223,270.44446,293.55554,245.55556,230.33333,275.8889,168.66667,199.22223,174.11111,7.827960169445535,8.084513218912635,8.20239588699332,7.945768960675284,7.853829320136962,8.11316333391413,7.406559388603614,7.645458343236441,7.452126845950332,8.038289758450496,0.1914496875596887,7.970920538242126,0.1314837787182122,7.501381525930128,0.12683727865299904,-0.4695390123119978,0.06736922020837,-0.5369082325203678
2160787,24521084,6624167,706,806,PSR2200160979.hg.1,2,31326891.0,31327275.0,probeset_region,135.88889,151.77777,154.66667,125.0,127.888885,135.88889,112.55556,103.22222,167.77777,7.0968615035159335,7.255290837816985,7.282316286127219,6.977279923499917,7.009984050617829,7.0968615035159335,6.827254501035211,6.70351909933864,7.398981095090634,7.211489542486713,0.10018624757324272,7.028041825877892,0.06180211165719974,6.976584898488162,0.37100070429370985,-0.05145692738973029,0.18344771660882042,-0.2349046439985507
