man_fsetid,fsetid,type,start,stop,feature_type,n_pm_probes,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta
PSR2200160978.hg.1,24521083,2,31325809.0,31326890.0,probeset_region,6,79.44444274902344,90.61111450195312,106.38888549804688,96.55555725097656,93.22222137451172,118.33332824707031,75.88888549804688,73.11111450195312,98.16667175292969,6.3299208552351205,6.517450735394254,6.746700875215319,6.608152153165687,6.557995440141064,6.898853215052095,6.264703162570771,6.211618015750605,6.631783431470045,6.531357488614898,0.20873774120299493,6.688333602786282,0.18403207417939357,6.369368203263807,0.22880302052011603,-0.31896539952247505,-0.15697611417138457,-0.16198928535109047
PSR2200160979.hg.1,24521084,2,31326891.0,31327275.0,probeset_region,6,136.27777099609375,211.11111450195312,227.5555419921875,127.5,193.88888549804688,204.72222900390625,153.22222900390625,150.66665649414062,169.0555419921875,7.100954222615635,7.728676409024778,7.836400991467531,7.005624549193878,7.60650800590119,7.684553880288116,7.2688669145762335,7.244760137601034,7.40986221301755,7.555343874369314,0.39718209064765136,7.432228811794395,0.3715052991262748,7.307829755064939,0.08918100151333497,-0.12439905672945528,0.12311506257491978,-0.24751411930437506
PSR2200160980.hg.1,24521085,2,31327276.0,31327309.0,probeset_region,6,92.27777862548828,132.27777099609375,140.0,101.16666412353516,106.38888549804688,166.77777099609375,101.94444274902344,85.38888549804688,83.05555725097656,6.543461526605962,7.058292367441268,7.139551352398794,6.674780727058076,6.746700875215319,7.390407774455481,6.685722140824803,6.432773806948567,6.393271299873935,6.913768415482008,0.32325864198946636,6.937296458909626,0.3940501556077753,6.5039224158824345,0.15867724162001243,-0.4333740430271913,-0.023528043427617717,-0.4098459995995736
PSR2200160981.hg.1,24521086,2,31328787.0,31328859.0,probeset_region,6,123.22222900390625,133.11111450195312,111.77777862548828,130.5,146.55555725097656,153.1666717529297,132.61111450195312,89.66667175292969,132.0,6.956779550162161,7.067284995789559,6.817339021474452,7.038918989292302,7.205114446481254,7.268347102279878,7.061896213828446,6.5025004214621935,7.05528243550119,6.947134522475391,0.12525181610815458,7.170793512684479,0.11850215031708075,6.873226356930609,0.32107510793837585,-0.2975671557538693,-0.22365899020908753,-0.07390816554478175
PSR2200160982.hg.1,24521087,2,31328860.0,31328924.0,probeset_region,6,48.166664123535156,58.666664123535156,55.166664123535156,52.72222137451172,59.44444274902344,74.05555725097656,52.88888931274414,54.33333206176758,53.666664123535156,5.619608568905065,5.898853215052095,5.811642215137914,5.747447055269504,5.91753779934152,6.229886990472238,5.751915946979486,5.790076897472486,5.772589436781745,5.776701333031691,0.14286371838999484,5.964957281694421,0.2446906787141009,5.771527427077906,0.019102628983743947,-0.19342985461651452,-0.18825594866272954,-0.005173905953784974
PSR2200160983.hg.1,24521088,2,31335418.0,31335691.0,probeset_region,6,54.333335876464844,48.833335876464844,44.38888931274414,48.83333206176758,46.38888931274414,60.44444274902344,50.55555725097656,42.888885498046875,50.94444274902344,5.790076996932331,5.639039247101627,5.504267280175696,5.639039136664608,5.566476942779717,5.941210628984475,5.688056041128749,5.4557837301599745,5.698897506244388,5.644461174736551,0.14298197971277968,5.715575569476267,0.19874532209539336,5.614245759177703,0.1373391616465427,-0.10132981029856403,-0.07111439473971615,-0.03021541555884788
PSR2200160984.hg.1,24521089,2,31335692.0,31335863.0,probeset_region,6,129.88888549804688,178.44444274902344,188.44444274902344,127.5,125.66666412353516,178.11111450195312,124.44444274902344,102.11111450195312,110.3888931274414,7.0321987850133105,7.487393434508152,7.565631009557915,7.005624549193878,6.984893078644292,7.484711054398036,6.970904749832212,6.688056041128749,6.799461574797174,7.361741076359793,0.28806053335511633,7.158409560745402,0.28277543570427405,6.819474121919378,0.14248236570026138,-0.3389354388260237,0.20333151561439067,-0.5422669544404144
PSR2200160986.hg.1,24521090,2,31340679.0,31341404.0,probeset_region,6,47.166664123535156,89.16667175292969,79.0,50.83333206176758,65.94444274902344,95.11111450195312,53.22222137451172,53.166664123535156,44.833335876464844,5.589963105607274,6.494522364487466,6.321928094887363,5.695808234017518,6.064892393137618,6.586631371980685,5.760812313565472,5.759333339459953,5.51832538774097,6.135471188327368,0.48024108186348713,6.115777333045273,0.4475862191965815,5.679490346922132,0.13957490781655688,-0.43628698612314043,0.019693855282095107,-0.45598084140523554
PSR2200160987.hg.1,24521091,2,31341405.0,31341683.0,probeset_region,6,186.83334350585938,446.4444580078125,497.77777099609375,189.0,209.61111450195312,555.888916015625,205.88888549804688,187.5,157.55555725097656,7.553309377583377,8.805564799235807,8.96225335985748,7.569855608330948,7.718437762955743,9.12124576815498,7.692712332471176,7.5584207132686645,7.308844633460065,8.440375845558888,0.7722065884284685,8.136513046480557,0.8560333311387319,7.519992559733303,0.19479770230709656,-0.6165204867472545,0.30386279907833114,-0.9203832858255856
PSR2200160988.hg.1,24521092,2,31342897.0,31342960.0,probeset_region,6,205.77777099609375,533.2777709960938,540.611083984375,192.88888549804688,265.16668701171875,503.5555419921875,180.38888549804688,174.38888549804688,190.22222900390625,7.691937291300817,9.061446183838218,9.081113453513456,7.599086294424009,8.056186206965736,8.978869281199763,7.502942248022072,7.454413515978649,7.579106431762979,8.611498976217497,0.7964244908647791,8.211380594196504,0.7028614700066473,7.512154065254566,0.06285478497491775,-0.6992265289419377,0.4001183820209935,-1.0993449109629312
PSR2200160989.hg.1,24521093,2,31342961.0,31343285.0,probeset_region,6,124.77777862548828,98.55555725097656,119.72222137451172,89.55555725097656,95.83333587646484,89.94444274902344,101.55555725097656,92.88888549804688,82.16667175292969,6.974733251112971,6.637429945184242,6.915547447608377,6.500731274686899,6.597431890572837,6.50691357813657,6.68026186005371,6.552882477623614,6.377933592847682,6.842570214635198,0.1801045181191433,6.5350255811321025,0.05413377700193793,6.537025976841669,0.1517865829075013,0.0020003957095662273,0.30754463350309535,-0.3055442377935291
PSR2200160990.hg.1,24521094,2,31343286.0,31343591.0,probeset_region,6,37.83333206176758,46.38888931274414,53.22222137451172,49.44444274902344,47.77777862548828,58.166664123535156,42.0,43.833335876464844,44.05555725097656,5.279223596693254,5.566476942779717,5.760812313565472,5.656623437360101,5.608152153165687,5.886712651660241,5.426264754702098,5.486499943671077,5.493633157062948,5.535504284346149,0.24228372259086917,5.717162747395342,0.14882118086831905,5.468799285145374,0.03700824763949248,-0.24836346224996841,-0.1816584630491933,-0.0667049992007751
PSR2200160991.hg.1,24521095,2,31344332.0,31345602.0,probeset_region,6,108.61111450195312,216.4444580078125,187.22222900390625,132.77777099609375,151.94444274902344,214.6666717529297,96.0,145.88888549804688,116.44444274902344,6.776250283911311,7.764503129174389,7.556293209870474,7.063694602181909,7.256863877160674,7.752659435295739,6.599912842187128,7.198581426761628,6.875834639113711,7.365682207652058,0.5209705722664901,7.357739304879441,0.35538714700306095,6.891442969354155,0.29963933907079005,-0.4662963355252865,0.007942902772616556,-0.47423923829790304
PSR2200160992.hg.1,24521096,2,31345603.0,31345776.0,probeset_region,6,107.11111450195312,99.72222137451172,127.66666412353516,127.66666412353516,112.72222900390625,126.16667175292969,104.05555725097656,107.22222137451172,144.6666717529297,6.756371038588088,6.654238196159662,7.007494508031666,7.007494508031666,6.829370471614429,6.990576803816595,6.7150086697901346,6.757852949339322,7.186527019154222,6.806034580926472,0.1817893177487334,6.942480594487563,0.09832078672009704,6.886462879427893,0.2607446529361605,-0.056017715059669904,-0.1364460135610912,0.0804282985014213
