probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,region_midpoint,probe_plot_x
719406,23696838,2066703,1165,268,PSR0100145779.hg.1,2,3652520.0,3652564.0,probeset_region,71.888885,65.111115,80.55556,84.0,75.22222,125.0,351.33334,370.77777,263.8889,6.187626936060589,6.046820930748888,6.349711281392425,6.409390936137702,6.2521397486854715,6.977279923499917,8.460797202314845,8.538296702279508,8.049243500551913,6.546270202774363,0.38145644378975146,6.194719716067301,0.15156969279644564,8.349445801715422,0.2628547304911836,1.803175598941059,-0.3515504867070627,2.1547260856481216,3652542.0,3652526.6
2143330,23696838,2066704,2009,799,PSR0100145779.hg.1,2,3652520.0,3652564.0,probeset_region,122.55556,109.111115,126.888885,157.11111,135.88889,132.44444,387.44446,441.8889,477.44446,6.949016091077759,6.7828162901715805,6.998747078438346,7.304794976024127,7.0968615035159335,7.06009541593378,8.601564518433067,8.790800982351197,8.90220764362372,7.1539172984912796,0.13195071611137185,6.910193153229229,0.11307936022002359,8.76485771480266,0.15199132221749334,1.6109404163113812,-0.24372414526205066,1.8546645615734318,3652542.0,3652532.76
5201119,23696838,2066705,1918,1940,PSR0100145779.hg.1,2,3652520.0,3652564.0,probeset_region,105.22222,80.0,86.111115,98.0,92.22222,75.666664,571.2222,562.2222,671.55554,6.730941795024953,6.339850002884624,6.444784898830495,6.6293566200796095,6.542601985878453,6.260527502367176,9.160431732613711,9.137560464518463,9.393509605173183,6.477495369441747,0.1928416011808924,6.505192232246691,0.20242278013535217,9.230500600768453,0.1416323598752672,2.753005231326706,0.027696862804944544,2.7253083685217616,3652542.0,3652538.92
5664136,23696838,2066706,1295,2113,PSR0100145779.hg.1,2,3652520.0,3652564.0,probeset_region,569.44446,449.66666,455.22223,591.2222,461.1111,426.66666,1706.4445,1379.1111,1765.2222,9.155942613435839,8.815916902996266,8.833592932111763,9.209994832724886,8.852095978790135,8.740342920052424,10.737622934064735,10.430568677653646,10.786451111491747,8.934144577189148,0.24534100583403814,8.93515081618129,0.191415448181419,10.651547574403375,0.1929243435501512,1.7174029972142275,0.0010062389921419168,1.7163967582220856,3652542.0,3652545.08
6341809,23696838,2066707,928,2366,PSR0100145779.hg.1,2,3652520.0,3652564.0,probeset_region,181.44444,190.0,224.66667,205.11111,210.77777,222.33333,621.55554,915.7778,843.1111,7.511313396928806,7.577428828035749,7.818049555370501,7.687278493800386,7.726407356268721,7.803054751767591,9.28205874435646,9.840428253434888,9.721289058100416,7.738913533945566,0.058892604266459245,7.635597260111685,0.16142937338514887,9.614592018630589,0.29407876638893987,1.8756784846850225,-0.10331627383388131,1.9789947585189038,3652542.0,3652551.24
6477107,23696838,2066708,2226,2416,PSR0100145779.hg.1,2,3652520.0,3652564.0,probeset_region,549.7778,422.8889,538.44446,719.55554,604.8889,507.0,1982.6666,2693.5557,2695.3333,9.105326524264223,8.727542328738936,9.075330615138235,9.492965830540198,9.242909503269013,8.988684686772165,10.95395387214957,11.395831674855115,11.396783101370277,9.24152000686046,0.25214344333176875,8.969399822713799,0.20999100977166582,11.248856216124986,0.25539336456679873,2.007336209264526,-0.2721201841466616,2.2794563934111878,3652542.0,3652557.4
342828,23696839,2066709,2467,127,PSR0100145780.hg.1,2,3652565.0,3652641.0,probeset_region,1731.7778,2043.2222,2019.3334,2199.111,1864.4445,2049.7778,9201.444,7871.222,7923.222,10.758870975990149,10.997336282898917,10.980377655543599,11.10336065216999,10.865303690461603,11.001955492721834,13.167801402674325,12.942555221307721,12.952053613669593,10.990206611784474,0.11946257324751197,10.912194971477556,0.13305293854181016,13.020803412550547,0.1273925495846908,2.030596800766073,-0.07801164030691865,2.1086084410729917,3652603.0,3652576.4
360012,23696839,2066710,891,134,PSR0100145780.hg.1,2,3652565.0,3652641.0,probeset_region,518.2222,304.0,339.1111,656.7778,623.1111,337.22223,8567.444,7531.3335,7224.8887,9.020208339265867,8.252665432450248,8.40986234246807,9.361456444199824,9.285659023430142,8.40182767098867,13.064817580883766,12.878881161739733,12.818959312229135,9.016314379539546,0.5335089019764342,8.560912038061394,0.4054534946881942,12.92088601828421,0.12819858831693448,3.904571638744663,-0.45540234147815184,4.359973980222815,3652603.0,3652587.04
4307707,23696839,2066711,946,1607,PSR0100145780.hg.1,2,3652565.0,3652641.0,probeset_region,237.77777,155.0,170.66667,214.0,218.22223,135.88889,1499.5555,1312.4445,1304.0,7.899524725010544,7.285402218862249,7.423466164094626,7.7481928495894605,7.776250283911311,7.0968615035159335,10.551281004913644,10.359139478775878,10.349834091457247,7.540434879005569,0.38440188538511694,7.53613103598914,0.3221903834050932,10.420084858382255,0.11371441952013585,2.879649979376686,-0.004303843016429276,2.8839538223931154,3652603.0,3652597.68
4740593,23696839,2066712,2352,1768,PSR0100145780.hg.1,2,3652565.0,3652641.0,probeset_region,388.1111,252.77777,159.44444,240.44444,341.22223,202.11111,6374.0,6098.222,6120.1113,8.604038379563363,7.987421895367501,7.325930010199859,7.915547447608377,8.418789662729274,7.666125377700855,12.638209626633582,12.574409552589024,12.579577892158511,8.000154162679502,0.3833987528222809,7.972463428376908,0.6391854721129777,12.597399023793706,0.03543736603631775,4.597244861114204,-0.0276907343025945,4.624935595416798,3652603.0,3652608.32
