man_fsetid,fsetid,type,start,stop,feature_type,n_pm_probes,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,midpoint
PSR0100145779.hg.1,23696838,2,3652520.0,3652564.0,probeset_region,6,152.0,149.55555725097656,175.77777099609375,181.11111450195312,173.3333282470703,177.38888549804688,596.388916015625,739.0,757.3333129882812,7.257387842692652,7.234152151045253,7.465793063542966,7.508675164519598,7.445704593434428,7.478881920860499,9.22252665983448,9.531381460516313,9.566688290546718,7.477753892938175,0.03150043715479639,7.319111019093623,0.12756053842965082,9.440198803632503,0.18933439914848935,1.9624449106943285,-0.15864287384455178,2.1210877845388802,3652542.0
PSR0100145780.hg.1,23696839,2,3652565.0,3652641.0,probeset_region,6,479.6111145019531,334.6111145019531,333.5,577.1666259765625,496.66668701171875,387.5,7075.22216796875,6836.22265625,6554.72265625,8.908726202061562,8.390646684370495,8.38586240064146,9.175341523031504,8.95903600839203,8.60177078840771,12.788763628845787,12.739194692557353,12.678539106317833,8.912049439943749,0.28965781556023684,8.561745095691172,0.3005039741437949,12.735499142573659,0.05520510989836309,3.82344970262991,-0.35030434425257617,4.173754046882486,3652603.0
PSR0100145781.hg.1,23696840,2,3682333.0,3682365.0,probeset_region,6,366.0555419921875,317.77777099609375,270.77777099609375,503.1111145019531,395.5555725097656,308.66668701171875,9341.388671875,9016.4443359375,9378.4443359375,8.519854574624764,8.316407220634431,8.086283651085434,8.977597952612545,8.631379246287233,8.274572380446335,13.189575751564515,13.138502897045347,13.195286740714787,8.627849859782039,0.35152607471812664,8.307515148781544,0.21692219374942842,13.174455129774882,0.03126621384094431,4.546605269992844,-0.3203347110004948,4.8669399809933385,3682349.0
PSR0100145782.hg.1,23696841,2,3682366.0,3682430.0,probeset_region,6,74.94444274902344,84.38888549804688,82.72222137451172,124.55555725097656,72.5,77.05555725097656,9640.72265625,9554.9443359375,10383.0556640625,6.246872493956316,6.415976390958206,6.3875386855478276,6.9721820753414585,6.199672344836364,6.286429445002317,13.23507521593043,13.222182734678515,13.342082401632775,6.486094621726713,0.4231931686931532,6.350129190154116,0.09054631276046284,13.266446784080573,0.06581879670796865,6.78035216235386,-0.13596543157259688,6.916317593926457,3682398.0
PSR0100145783.hg.1,23696842,2,3683060.0,3683180.0,probeset_region,6,64.94444274902344,97.61111450195312,95.83332824707031,157.33334350585938,50.05555725097656,95.77777862548828,9634.333984375,10009.888671875,9797.22265625,6.043179181108138,6.62367835744561,6.597431776904441,7.306821295186748,5.673996097754837,6.596603919793624,13.234118959408368,13.28928242820885,13.258304360669245,6.525807104245071,0.8187115933959908,6.421429771819397,0.327837387705533,13.260568582762154,0.02765134895063777,6.7347614785170835,-0.10437733242567404,6.8391388109427576,3683120.0
PSR0100145784.hg.1,23696843,2,3690672.0,3690706.0,probeset_region,6,37.5,33.4444465637207,32.88888931274414,37.55555725097656,43.44444274902344,40.05555725097656,37.0,37.55555725097656,36.44444274902344,5.266786540694901,5.106199492597161,5.082740449052017,5.2688669145762335,5.473931133297963,5.359505612281048,5.247927513443585,5.2688669145762335,5.226679714416758,5.367434553385081,0.10276178535945053,5.151908827448026,0.10017608712480533,5.247824714145525,0.021093787950382005,-0.1196098392395557,-0.21552572593705488,0.09591588669749918,3690689.0
PSR0100145785.hg.1,23696844,2,3690707.0,3690905.0,probeset_region,6,59.5,55.5,51.833335876464844,61.11111068725586,57.77777862548828,63.72222137451172,79.16667175292969,74.77777862548828,78.88888549804688,5.918863237274595,5.820178962415188,5.723376598862348,5.956779461555717,5.877198931478688,6.016189219203382,6.324930674582268,6.2437029437209945,6.31992289776255,5.950055870745929,0.0697386551740241,5.820806266184043,0.09774482892687425,6.296185505355271,0.045520148439353085,0.3461296346093423,-0.1292496045618856,0.47537923917122793,3690806.0
PSR0100145786.hg.1,23696845,2,3690906.0,3690944.0,probeset_region,6,116.11111450195312,105.27777862548828,119.94444274902344,124.16667175292969,117.0,123.5,163.88888549804688,177.61111450195312,133.0,6.8717341919667785,6.731696168411264,6.918200670521935,6.967706655418359,6.882643049361842,6.960001932068081,7.365350345510325,7.480678048161836,7.066089190457772,6.936783878949427,0.047045326673327184,6.840543676966658,0.09708562456083218,7.3040391947099765,0.21398661907333652,0.3672553157605494,-0.09624020198276906,0.46349551774331843,3690925.0
PSR0100145788.hg.1,23696846,2,3698058.0,3698151.0,probeset_region,6,41.611114501953125,41.5,48.5,36.388885498046875,42.27777862548828,40.88888931274414,43.0,50.55555725097656,41.33333206176758,5.413157880865202,5.409390936137702,5.6293566200796095,5.2245375623283,5.43555454487838,5.388495726424349,5.459431618637297,5.688056041128749,5.403722142716798,5.34952927787701,0.11077377765260847,5.483968479027504,0.12592391010878395,5.517069934160948,0.15067538952608478,0.1675406562839381,0.13443920115049401,0.03310145513344409,3698104.5
PSR0100145789.hg.1,23696847,2,3707549.0,3707575.0,probeset_region,3,43.0,49.88888931274414,52.66666793823242,54.0,36.88888931274414,38.0,9765.22265625,9810.5556640625,9697.5556640625,5.459431618637297,5.669278798670887,5.7459544115763475,5.78135971352466,5.2437029437209945,5.285402218862249,13.253584954446385,13.260266184704287,13.243554197792305,5.436821625369301,0.2991062988790756,5.624888276294844,0.14832975620559732,13.25246844564766,0.008411751931660333,7.815646820278358,0.18806665092554287,7.627580169352815,3707562.0
