man_fsetid,fsetid,type,start,stop,feature_type,n_pm_probes,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,midpoint
PSR1600155075.hg.1,24336467,2,31180110.0,31180137.0,probeset_region,4,612.6666259765625,663.6111450195312,754.5,1007.3888549804688,664.7222290039062,775.8333129882812,745.8888549804688,1084.888916015625,1237.333251953125,9.261311314968653,9.376366675897646,9.561287945164828,9.977836362956042,9.378776531589882,9.601461259034,9.544749760367981,10.084660810907277,10.274183899894444,9.652691384526642,0.30279789415979586,9.399655312010376,0.15133824729709464,9.967864823723234,0.378483180529068,0.3151734391965917,-0.2530360725162666,0.5682095117128583,31180123.5
PSR1600155082.hg.1,24336468,2,31180175.0,31180214.0,probeset_region,6,243.83334350585938,276.83331298828125,239.77777099609375,185.94444274902344,227.22222900390625,288.9444580078125,232.16665649414062,216.66665649414062,231.16665649414062,7.93565623977734,8.118075782620245,7.911558396016789,7.546465774971397,7.834295507745949,8.179632752666318,7.8652176835021255,7.765976613401753,7.85901697866752,7.853464678461222,0.3170184509460984,7.9884301394714585,0.11292108354543011,7.830070425190466,0.05559338735242465,-0.02339425327075606,0.13496546101023643,-0.1583597142809925,31180194.5
PSR1600155084.hg.1,24336469,2,31182398.0,31182422.0,probeset_region,1,1089.6666259765625,1057.3333740234375,1310.77783203125,1260.6666259765625,1068.22216796875,1196.5555419921875,784.6666870117188,1064.77783203125,1362.3333740234375,10.090994478397171,10.047578431293523,10.357307684673298,10.301115037623473,10.062345938772706,10.225876853607646,9.617773579887992,10.057691015412374,10.412922670166692,10.19644594333461,0.12207499539679101,10.165293531454664,0.16770007323709887,10.029462421822352,0.39832544365733674,-0.16698352151225748,-0.031152411879945774,-0.1358311096323117,31182410.0
PSR1600155085.hg.1,24336470,2,31182513.0,31182664.0,probeset_region,6,1218.111083984375,1512.77783203125,1353.611083984375,1046.5555419921875,1225.888916015625,1621.72216796875,1416.27783203125,1197.0,1257.111083984375,10.251613873304208,10.563937769942111,10.40366299030403,10.032811023128364,10.260788916247876,10.664200296744383,10.468906885263563,10.226412192788786,10.297043594191006,10.319266745373541,0.3197308963546985,10.406404877850116,0.15618000052265774,10.330787557414451,0.12471932592877524,0.011520812040910045,0.08713813247657498,-0.07561732043566494,31182588.5
PSR1600155086.hg.1,24336471,2,31182665.0,31183350.0,probeset_region,6,101.77777099609375,129.7777862548828,152.8333282470703,88.27777862548828,109.0,147.72222900390625,115.11111450195312,96.72222137451172,108.0,6.683384458766637,7.030973697112609,7.26522428922412,6.480229225931462,6.78135971352466,7.216476487984879,6.859362267657567,6.610614753514708,6.768184324776926,6.826021809147001,0.37015001662747876,6.993194148367789,0.2927539372992612,6.7460537819830675,0.12584177422988777,-0.07996802716393336,0.16717233922078822,-0.2471403663847216,31183007.5
PSR1600155087.hg.1,24336472,2,31183550.0,31183857.0,probeset_region,6,75.66667175292969,137.5,124.88888549804688,85.72222900390625,71.0,104.83332824707031,57.0555534362793,62.5,78.83333587646484,6.2605276459353,7.113742166049188,6.976007105518928,6.438329933354448,6.169925001442312,6.725650211603632,5.859362172861388,5.9886846867721655,6.318919390972809,6.444635048800131,0.27791625206669435,6.783425639167805,0.4580496372880942,6.055655416868788,0.2369852699997047,-0.3889796319313428,0.3387905903676742,-0.727770222299017,31183703.5
PSR1600155089.hg.1,24336473,2,31183861.0,31184002.0,probeset_region,6,1190.388916015625,1575.666748046875,1607.888916015625,1301.5555419921875,1278.6666259765625,1736.4443359375,1490.3333740234375,1441.111083984375,1429.0556640625,10.218428726929332,10.622662041970814,10.651849004852874,10.347129176128066,10.321552298251806,10.762751042323652,10.542387079701001,10.493966582486937,10.481855588801393,10.477144172234508,0.2476731865827671,10.497646591251007,0.2422497296548286,10.506069750329777,0.032029367016947134,0.028925578095268634,0.020502419016498408,0.008423159078770226,31183931.5
PSR1600155090.hg.1,24336474,2,31184209.0,31184298.0,probeset_region,6,1594.27783203125,1594.4444580078125,1462.5555419921875,1226.111083984375,1325.72216796875,1747.111083984375,1419.666748046875,1211.22216796875,1421.77783203125,10.639591988895397,10.639742669806134,10.51526178178299,10.261050139253284,10.373650568814195,10.771581148689036,10.472352459703608,10.243438415200284,10.474494686055476,10.468760618918838,0.2682255005066683,10.59819881349484,0.07182561589059738,10.396761853653123,0.13278631280251219,-0.07199876526571458,0.12943819457600192,-0.2014369598417165,31184253.5
PSR1600155091.hg.1,24336475,2,31184299.0,31184369.0,probeset_region,6,779.27783203125,794.7777709960938,1039.5555419921875,756.6666870117188,747.8333740234375,1015.3888549804688,720.22216796875,730.888916015625,777.27783203125,9.607844102883433,9.636221789583445,10.023138258882945,9.565419506836294,9.54850092419544,9.989236745653436,9.494299930869817,9.515480886815888,9.604141454678938,9.70105239222839,0.24971829283995703,9.755734717116608,0.23201252959160826,9.537974090788214,0.058273049146950945,-0.16307830144017643,0.05468232488821734,-0.21776062632839377,31184334.0
PSR1600155095.hg.1,24336476,2,31184939.0,31185022.0,probeset_region,6,1678.22216796875,2348.166748046875,2499.0556640625,1551.5,1479.388916015625,2140.22216796875,1704.4443359375,1636.611083984375,1577.5,10.713577402026207,11.1979334067147,11.28774450169861,10.600377553107844,10.531760523690922,11.064218778656395,10.735931952203572,10.6773770568864,10.624338545312986,10.732118951818387,0.28964598291859117,11.066418436813173,0.3088512669031885,10.679215851467653,0.0558194230487562,-0.05290310035073453,0.33429948499478535,-0.3872025853455199,31184980.5
