symbol,list_name,transcript_cluster_id,probesetid,seqname,strand,start,stop,totalprobes,category,geneassignment
BCL6B,List B,TC1700006720.hg.1,TC1700006720.hg.1,chr17,+,7023020,7030290,10,main,"NM_181844 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// ENST00000293805 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// ENST00000537931 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// ENST00000571729 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// ENST00000572216 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// ENST00000573503 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// ENST00000576705 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// BC059404 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// OTTHUMT00000439455 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// OTTHUMT00000439456 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// OTTHUMT00000439480 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// OTTHUMT00000439481 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// OTTHUMT00000439482 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877 /// OTTHUMT00000439483 // BCL6B // B-cell CLL/lymphoma 6, member B // 17p13.1 // 255877"
CDX4,List B,TC0X00007609.hg.1,TC0X00007609.hg.1,chrX,+,73447254,73455245,10,main,NM_005193 // CDX4 // caudal type homeobox 4 // Xq13.2 // 1046 /// ENST00000373514 // CDX4 // caudal type homeobox 4 // Xq13.2 // 1046 /// BC128233 // CDX4 // caudal type homeobox 4 // Xq13.2 // 1046 /// OTTHUMT00000057229 // CDX4 // caudal type homeobox 4 // Xq13.2 // 1046
E2F1,List A; TP73-FUS panel,TC2000007164.hg.1,TC2000007164.hg.1,chr20,+,33676578,33685892,10,main,"hsa_circ_0001138 // E2F1 // Memczak2013 ANTISENSE, coding, INTERNAL, intronic best transcript NM_005225 // --- // ---"
E2F1,List A; TP73-FUS panel,TC2000008894.hg.1,TC2000008894.hg.1,chr20,-,33675486,33686404,10,main,NM_005225 // E2F1 // E2F transcription factor 1 // 20q11.2 // 1869 /// ENST00000343380 // E2F1 // E2F transcription factor 1 // 20q11.2 // 1869 /// BC050369 // E2F1 // E2F transcription factor 1 // 20q11.2 // 1869 /// BC058902 // E2F1 // E2F transcription factor 1 // 20q11.2 // 1869 /// OTTHUMT00000078731 // E2F1 // E2F transcription factor 1 // 20q11.2 // 1869
EGR3,List A,TC0800009856.hg.1,TC0800009856.hg.1,chr8,-,22687659,22693302,10,main,NM_001199880 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// NM_001199881 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// NM_004430 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// ENST00000317216 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// ENST00000518773 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// ENST00000519492 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// ENST00000522910 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// ENST00000524088 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// BC104765 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// BC112279 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// OTTHUMT00000215098 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// OTTHUMT00000375023 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// OTTHUMT00000375024 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// OTTHUMT00000375025 // EGR3 // early growth response 3 // 8p23-p21 // 1960 /// OTTHUMT00000375026 // EGR3 // early growth response 3 // 8p23-p21 // 1960
ELK3,List A,TC1200008535.hg.1,TC1200008535.hg.1,chr12,+,96194382,96269835,10,main,"NM_001303511 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// NM_005230 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// ENST00000228741 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// ENST00000547249 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// ENST00000547860 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// ENST00000549529 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// ENST00000549985 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// ENST00000552142 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// BC017371 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// OTTHUMT00000408694 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// OTTHUMT00000408695 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// OTTHUMT00000408696 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// OTTHUMT00000408697 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// OTTHUMT00000408698 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004 /// OTTHUMT00000408699 // ELK3 // ELK3, ETS-domain protein (SRF accessory protein 2) // 12q23 // 2004"
FOXF2,List B,TC0600006530.hg.1,TC0600006530.hg.1,chr6,+,1389834,1395597,10,main,NM_001452 // FOXF2 // forkhead box F2 // 6p25.3 // 2295 /// ENST00000259806 // FOXF2 // forkhead box F2 // 6p25.3 // 2295 /// OTTHUMT00000043558 // FOXF2 // forkhead box F2 // 6p25.3 // 2295 /// uc003mtm.3 // FOXF2 // forkhead box F2 // 6p25.3 // 2295
FUS,TP73-FUS panel,TC1600007521.hg.1,TC1600007521.hg.1,chr16,+,31180110,31194871,10,main,NM_001170634 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// NM_001170937 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// NM_004960 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// NR_028388 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000254108 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000380244 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000474990 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000483853 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000487045 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000487509 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000487974 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000564766 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000566605 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000568685 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000568901 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000569760 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// ENST00000570090 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// BC000402 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// BC002459 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// BC026062 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000255526 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000258282 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000258283 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000258284 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000258286 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000258287 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000433550 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000433551 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000433552 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000433558 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000433560 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000433561 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// OTTHUMT00000433562 // FUS // FUS RNA binding protein // 16p11.2 // 2521 /// uc002ebf.3 // FUS // FUS RNA binding protein // 16p11.2 // 2521
GLIS3,List A,TC0900009424.hg.1,TC0900009424.hg.1,chr9,-,3824127,4348392,10,main,NM_001042413 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// NM_152629 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000324333 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000381971 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000461870 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000462164 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000463680 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000464391 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000465708 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000467497 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000469833 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000471664 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000473846 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000477901 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000478315 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000478844 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000481827 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000490709 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// ENST00000491889 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// BC033899 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000051557 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000051559 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000051561 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000207150 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354776 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354777 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354778 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354779 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354780 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354781 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354783 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354784 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354785 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354786 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354787 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354788 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792 /// OTTHUMT00000354789 // GLIS3 // GLIS family zinc finger 3 // 9p24.2 // 169792
HDAC1,TP73-FUS panel,TC0100007678.hg.1,TC0100007678.hg.1,chr1,+,32292086,32333635,10,main,NM_004964 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000373548 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000428704 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000463172 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000471488 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000472928 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000476391 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000481281 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000482310 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000484305 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// ENST00000490081 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// BC000301 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000019815 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000019816 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000019817 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000019819 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000020042 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000020043 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000020044 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000020045 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000020046 // HDAC1 // histone deacetylase 1 // 1p34 // 3065 /// OTTHUMT00000099439 // HDAC1 // histone deacetylase 1 // 1p34 // 3065
