symbol,list_name,transcript_cluster_id,feature_label,feature_type,seqname,strand,start,stop,n_probes,DNp73beta_mean_log2,DNp73beta_sd_log2,GFP_mean_log2,GFP_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,p_TAp73alpha_vs_GFP,p_DNp73beta_vs_GFP,p_TAp73alpha_vs_DNp73beta,p_paired_TAp73alpha_vs_GFP,p_paired_DNp73beta_vs_GFP,p_paired_TAp73alpha_vs_DNp73beta,q_TAp73alpha_vs_GFP,q_DNp73beta_vs_GFP,q_TAp73alpha_vs_DNp73beta,q_paired_TAp73alpha_vs_GFP,q_paired_DNp73beta_vs_GFP,q_paired_TAp73alpha_vs_DNp73beta
BCL6B,List B,TC1700006720.hg.1,TC1700006720.hg.1,transcript_cluster_core,chr17,+,7023020.0,7030290.0,10,6.0634862808353205,0.11347908335250285,6.094557059009117,0.37198389730630926,6.058479591541903,0.08149123772288086,-0.036077467467213964,-0.03107077817379622,-0.005006689293417743,0.883560053596993,0.9008321571311746,0.9537715146211602,0.8498732244224139,0.8902964626243766,0.9410944880223072,0.9252750619247228,0.9265702187634939,0.97248060763048,0.9228732224288366,0.9157335044136444,0.9812509974118574
CDX4,List B,TC0X00007609.hg.1,TC0X00007609.hg.1,transcript_cluster_core,chrX,+,73447254.0,73455245.0,10,5.790232642847431,0.14845579875885437,5.732808773250645,0.08362289483754297,5.745599516966209,0.0759935021441431,0.012790743715563657,0.05742386959678569,-0.044633125881222036,0.8542003581290099,0.5985454307822426,0.6747274481779433,0.8870029969262273,0.6546117257088262,0.7458293522822729,0.9252750619247228,0.828755211852336,0.8380269877057407,0.9228732224288366,0.7708087005596853,0.8717947785742102
E2F1,List A; TP73-FUS panel,TC2000007164.hg.1,TC2000007164.hg.1,transcript_cluster_core,chr20,+,33676578.0,33685892.0,10,5.5991827049369975,0.19687042813282288,5.478639935664987,0.09157438515556666,5.6046901058096,0.1691276981397946,0.12605017014461328,0.12054276927201091,0.005507400872602375,0.33686114199022504,0.4111063424491539,0.97248060763048,0.2501253298550765,0.5319209382972481,0.9812509974118574,0.550184198405224,0.7862563889643728,0.97248060763048,0.43460071832621194,0.7619046619586365,0.9812509974118574
E2F1,List A; TP73-FUS panel,TC2000008894.hg.1,TC2000008894.hg.1,transcript_cluster_core,chr20,-,33675486.0,33686404.0,10,7.190512873966084,1.0005569791268139,6.641178369819333,0.9539057290295285,6.954724005371787,0.1226423678204706,0.31354563555245374,0.549334504146751,-0.23578886859429726,0.6275794833965603,0.5291990804685157,0.72358758045479,0.6579838307288924,0.41006413787769325,0.72319567324223,0.7530953800758724,0.7862563889643728,0.868305096545748,0.7895805968746709,0.7381154481798479,0.8717947785742102
EGR3,List A,TC0800009856.hg.1,TC0800009856.hg.1,transcript_cluster_core,chr8,-,22687659.0,22693302.0,10,6.063129698899201,0.20031180577619237,6.003630748151224,0.19089442121765723,6.6686409910727775,0.34916664042472223,0.6650102429215536,0.05949895074797684,0.6055112921735768,0.06040661045726976,0.7285020155328481,0.0751744657325004,0.06996874975177998,0.6434674872814294,0.16587386589138226,0.21746379764617113,0.8500988640468133,0.2585970817486449,0.22898863555127993,0.7708087005596853,0.40852555319550415
ELK3,List A,TC1200008535.hg.1,TC1200008535.hg.1,transcript_cluster_core,chr12,+,96194382.0,96269835.0,10,7.603408404557718,0.4930064053435045,7.092817278030097,0.11603307875548655,8.289009244547868,0.19928493309983294,1.1961919665177714,0.5105911265276211,0.6856008399901503,0.002198462446568678,0.21027168543856434,0.12387642866838651,0.01664643871262391,0.14436487090173197,0.18030786986659628,0.033243589628680986,0.7462087365409247,0.37162928600515954,0.19609822648832062,0.5084996501963321,0.40852555319550415
FOXF2,List B,TC0600006530.hg.1,TC0600006530.hg.1,transcript_cluster_core,chr6,+,1389834.0,1395597.0,10,5.856907397814676,0.1624710029752855,5.763063510339518,0.05826666799068473,6.004109039264115,0.09163294167746629,0.24104552892459719,0.09384388747515793,0.14720164144943926,0.024931924517213447,0.427982360811369,0.2609138689259268,0.10459013241255545,0.2591808627493801,0.41305569271105913,0.14959154710328068,0.7862563889643728,0.4269499673333347,0.31377039723766637,0.7017820282675394,0.5948001975039252
FUS,TP73-FUS panel,TC1600007521.hg.1,TC1600007521.hg.1,transcript_cluster_core,chr16,+,31180110.0,31194871.0,10,10.238739346182891,0.06158494444787043,10.041356088834752,0.21447362662137398,10.015964557959775,0.10300307315301717,-0.02539153087497681,0.19738325734813955,-0.22277478822311636,0.8656115630066825,0.24791398007459672,0.04322873387997545,0.8972378551391467,0.15537489311554595,0.12778832110110697,0.9252750619247228,0.7462087365409247,0.22231920281130232,0.9228732224288366,0.5084996501963321,0.40852555319550415
GLIS3,List A,TC0900009424.hg.1,TC0900009424.hg.1,transcript_cluster_core,chr9,-,3824127.0,4348392.0,10,5.9812677881684,0.15006339180172862,5.958259384703797,0.07115137367165163,6.141565312081916,0.08095175524083313,0.18330592737811902,0.023008403464602978,0.16029752391351604,0.04300357718433174,0.8265451477037438,0.19977705368727525,0.05043638907255289,0.6637519365930624,0.1584012737077826,0.17201430873732695,0.8891172110866521,0.4269499673333347,0.20768250181026782,0.7708087005596853,0.40852555319550415
HDAC1,TP73-FUS panel,TC0100007678.hg.1,TC0100007678.hg.1,transcript_cluster_core,chr1,+,32292086.0,32333635.0,10,9.820388517802584,0.32919056774992184,9.632312040150646,0.3231142721667112,10.510653693470488,0.055989166851190014,0.8783416533198416,0.18807647765193813,0.6902651756679035,0.0388425015941464,0.5190262575244367,0.06432280775603157,0.041743061439283746,0.4665662989598238,0.0875418475966507,0.17201430873732695,0.7862563889643728,0.25729123102412627,0.20768250181026782,0.7619046619586365,0.40852555319550415
